"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20260601","5호선","발산","26830","27424","20260604",""
"20260601","5호선","우장산","17191","17217","20260604",""
"20260601","5호선","화곡","32138","30091","20260604",""
"20260601","5호선","까치산","30807","29689","20260604",""
"20260601","5호선","신정(은행정)","15414","12928","20260604",""
"20260601","5호선","목동","18153","20299","20260604",""
"20260601","5호선","오목교(목동운동장앞)","22795","24605","20260604",""
"20260601","5호선","양평","9804","9612","20260604",""
"20260601","5호선","영등포구청","5796","5874","20260604",""
"20260601","5호선","영등포시장","12779","12466","20260604",""
"20260601","5호선","신길","5638","5813","20260604",""
"20260601","5호선","여의도","32393","34684","20260604",""
"20260601","5호선","여의나루","13933","14936","20260604",""
"20260601","5호선","마포","16992","17297","20260604",""
"20260601","5호선","공덕","16299","17041","20260604",""
"20260601","5호선","애오개","7600","7370","20260604",""
"20260601","5호선","충정로(경기대입구)","5929","6204","20260604",""
"20260601","5호선","서대문","22345","22617","20260604",""
"20260601","5호선","광화문(세종문화회관)","35843","37538","20260604",""
"20260601","5호선","종로3가","15175","14839","20260604",""
"20260601","5호선","을지로4가","7921","7533","20260604",""
"20260601","5호선","동대문역사문화공원(DDP)","3897","4290","20260604",""
"20260601","5호선","청구","4020","3640","20260604",""
"20260601","5호선","신금호","7128","7590","20260604",""
"20260601","5호선","행당","8910","8025","20260604",""
"20260601","5호선","왕십리(성동구청)","5059","5531","20260604",""
"20260601","5호선","마장","7033","6581","20260604",""
"20260601","5호선","답십리","18178","16580","20260604",""
"20260601","5호선","장한평","22793","22564","20260604",""
"20260601","5호선","군자(능동)","13046","14412","20260604",""
"20260601","5호선","아차산(어린이대공원후문)","15969","15798","20260604",""
"20260601","5호선","광나루(장신대)","12643","12309","20260604",""
"20260601","5호선","천호(풍납토성)","22141","21679","20260604",""
"20260601","5호선","강동","20909","20039","20260604",""
"20260601","5호선","길동","10337","10400","20260604",""
"20260601","5호선","굽은다리(강동구민회관앞)","10493","10167","20260604",""
"20260601","5호선","명일","9229","9081","20260604",""
"20260601","5호선","고덕","11872","11840","20260604",""
"20260601","5호선","상일동","16674","15927","20260604",""
"20260601","5호선","둔촌동","14896","14819","20260604",""
"20260601","5호선","올림픽공원(한국체대)","5557","4777","20260604",""
"20260601","5호선","방이","8120","8382","20260604",""
"20260601","5호선","오금","4491","4484","20260604",""
"20260601","5호선","개롱","7387","7528","20260604",""
"20260601","5호선","거여","11661","11686","20260604",""
"20260601","5호선","마천","8414","7441","20260604",""
"20260601","5호선","강일","6920","6533","20260604",""
"20260601","5호선","미사","20029","20390","20260604",""
"20260601","5호선","하남풍산","5279","5161","20260604",""
"20260601","5호선","하남시청(덕풍·신장)","9939","9458","20260604",""
"20260601","5호선","하남검단산","7392","6866","20260604",""
"20260601","6호선","응암","20057","20084","20260604",""
"20260601","6호선","역촌","4389","5151","20260604",""
"20260601","6호선","불광","5019","4767","20260604",""
"20260601","6호선","독바위","2832","3028","20260604",""
"20260601","6호선","연신내","1","0","20260604",""
"20260601","6호선","구산","9049","7078","20260604",""
"20260601","6호선","새절(신사)","14722","13812","20260604",""
"20260601","6호선","증산(명지대앞)","10239","10321","20260604",""
"20260601","6호선","디지털미디어시티","16922","18153","20260604",""
"20260601","6호선","월드컵경기장(성산)","4171","4175","20260604",""
"20260601","6호선","마포구청","16102","14628","20260604",""
"20260601","6호선","망원","15859","16838","20260604",""
"20260601","6호선","합정","13271","13307","20260604",""
"20260601","6호선","상수","10625","11518","20260604",""
"20260601","6호선","광흥창(서강)","11056","10479","20260604",""
"20260601","6호선","대흥(서강대앞)","11742","12180","20260604",""
"20260601","6호선","공덕","21340","21417","20260604",""
"20260601","6호선","효창공원앞","8960","8409","20260604",""
"20260601","6호선","삼각지(전쟁기념관)","7331","6536","20260604",""
"20260601","6호선","녹사평(용산구청)","5337","5275","20260604",""
"20260601","6호선","이태원","10942","11254","20260604",""
"20260601","6호선","한강진","9318","10944","20260604",""
"20260601","6호선","버티고개","2574","2458","20260604",""
"20260601","6호선","약수","4011","3948","20260604",""
"20260601","6호선","청구","4181","4155","20260604",""
"20260601","6호선","신당","8939","9482","20260604",""
"20260601","6호선","동묘앞","10396","11079","20260604",""
"20260601","6호선","창신","4366","3663","20260604",""
"20260601","6호선","보문","9076","8627","20260604",""
"20260601","6호선","안암(고대병원앞)","17359","18280","20260604",""
"20260601","6호선","고려대(종암)","10576","10422","20260604",""
"20260601","6호선","월곡(동덕여대)","14910","14320","20260604",""
"20260601","6호선","상월곡(한국과학기술연구원)","8142","7897","20260604",""
"20260601","6호선","돌곶이","13765","13048","20260604",""
"20260601","6호선","석계","14230","14755","20260604",""
"20260601","6호선","태릉입구","6531","7679","20260604",""
"20260601","6호선","화랑대(서울여대입구)","13986","11884","20260604",""
"20260601","6호선","봉화산(서울의료원)","9790","8996","20260604",""
"20260601","7호선","장암","3142","1089","20260604",""
"20260601","7호선","도봉산","10416","11625","20260604",""
"20260601","7호선","수락산","13870","14055","20260604",""
"20260601","7호선","마들","15181","14411","20260604",""
"20260601","7호선","노원","22501","24033","20260604",""
"20260601","7호선","중계","16975","15893","20260604",""
"20260601","7호선","하계","20229","19116","20260604",""
"20260601","7호선","공릉(서울과학기술대)","14488","14397","20260604",""
"20260601","7호선","태릉입구","10039","9831","20260604",""
"20260601","7호선","먹골","11409","11450","20260604",""
"20260601","7호선","중화","12529","12728","20260604",""
"20260601","7호선","상봉","19867","19306","20260604",""
"20260601","7호선","면목","17037","16617","20260604",""
"20260601","7호선","사가정","17723","18128","20260604",""
"20260601","7호선","용마산(용마폭포공원)","6325","6207","20260604",""
"20260601","7호선","중곡","12506","11780","20260604",""
"20260601","7호선","군자(능동)","16952","13506","20260604",""
"20260601","7호선","어린이대공원(세종대)","20947","21897","20260604",""
"20260601","7호선","건대입구","15892","16125","20260604",""
"20260601","7호선","자양(뚝섬한강공원)","10161","10057","20260604",""
"20260601","7호선","청담","21250","22841","20260604",""
"20260601","7호선","강남구청","18240","19911","20260604",""
"20260601","7호선","학동","26229","26812","20260604",""
"20260601","7호선","논현","21835","22019","20260604",""
"20260601","7호선","반포","7624","7283","20260604",""
"20260601","7호선","고속터미널","17602","15760","20260604",""
"20260601","7호선","내방","17526","17323","20260604",""
"20260601","7호선","이수","18741","18422","20260604",""
"20260601","7호선","남성","13026","12637","20260604",""
"20260601","7호선","숭실대입구(살피재)","18070","18340","20260604",""
"20260601","7호선","상도","14378","14561","20260604",""
"20260601","7호선","장승배기","11107","11022","20260604",""
"20260601","7호선","신대방삼거리","17146","16668","20260604",""
"20260601","7호선","보라매","7577","8010","20260604",""
"20260601","7호선","신풍","13410","12607","20260604",""
"20260601","7호선","대림(구로구청)","9714","9564","20260604",""
"20260601","7호선","남구로","17870","18532","20260604",""
"20260601","7호선","가산디지털단지","51681","52321","20260604",""
"20260601","7호선","철산","25402","26125","20260604",""
"20260601","7호선","광명사거리","25060","24698","20260604",""
"20260601","1호선","서울역","80853","76821","20260604",""
"20260601","1호선","시청","29146","28973","20260604",""
"20260601","1호선","종각","43690","43021","20260604",""
"20260601","1호선","종로3가","25907","22753","20260604",""
"20260601","1호선","종로5가","25619","25118","20260604",""
"20260601","1호선","동대문","13892","13478","20260604",""
"20260601","1호선","신설동","16280","15687","20260604",""
"20260601","1호선","제기동","16999","17567","20260604",""
"20260601","1호선","청량리(서울시립대입구)","25202","25049","20260604",""
"20260601","1호선","동묘앞","9582","9907","20260604",""
"20260601","2호선","시청","30373","28846","20260604",""
"20260601","7호선","온수(성공회대입구)","12195","11288","20260604",""
"20260601","8호선","암사역사공원","8403","7408","20260604",""
"20260601","8호선","암사","18099","16626","20260604",""
"20260601","8호선","천호(풍납토성)","19697","22045","20260604",""
"20260601","8호선","강동구청","12035","12324","20260604",""
"20260601","8호선","몽촌토성(평화의문)","9198","9220","20260604",""
"20260601","8호선","잠실(송파구청)","19535","22587","20260604",""
"20260601","8호선","석촌","9583","10529","20260604",""
"20260601","8호선","송파","11184","11133","20260604",""
"20260601","8호선","가락시장","9391","10194","20260604",""
"20260601","8호선","문정","27038","28595","20260604",""
"20260601","8호선","장지","18824","17855","20260604",""
"20260601","8호선","복정","10960","9587","20260604",""
"20260601","8호선","산성","7092","7399","20260604",""
"20260601","8호선","남한산성입구(성남법원.검찰청)","15380","14356","20260604",""
"20260601","8호선","단대오거리","14089","13504","20260604",""
